,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentimental_value
0,1518741796418994179,1518734031566778368,2022-04-25 20:00:35 Eastern Daylight Time,2022-04-25,20:00:35,-0400,243928269,theteslabull,Đ⭕GEARMY GENERAL,0,@JeffBezos  https://t.co/SAmxXCDsFV,und,[],[],['https://pbs.twimg.com/media/FROnnXmXMAEaoaE.jpg'],1,4,144,[],[],https://twitter.com/TheTeslaBull/status/1518741796418994179,False,0,1,https://pbs.twimg.com/media/FROnnXmXMAEaoaE.jpg,0,0,0,0,0,0,[],0,0,0,0,1.0
1,1518735103047970816,1518734031566778368,2022-04-25 19:33:59 Eastern Daylight Time,2022-04-25,19:33:59,-0400,243928269,theteslabull,Đ⭕GEARMY GENERAL,0,@JeffBezos Jeff why you mad at @elonmusk bro?,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],6,0,71,[],[],https://twitter.com/TheTeslaBull/status/1518735103047970816,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'JeffBezos', 'name': 'Jeff Bezos', 'id': '15506669'}]",0,0,0,0,1.0
2,1518710969249193987,1518710969249193987,2022-04-25 17:58:06 Eastern Daylight Time,2022-04-25,17:58:06,-0400,1308211178,teslarati,TESLARATI,0,Tesla bull details Elon Musk's moves that forced Twitter board to strike a deal  https://t.co/MskRRmIYtp by @KlenderJoey,en,"[{'screen_name': 'klenderjoey', 'name': 'joey klender 🇺🇦', 'id': '1166039075847114752'}]",['https://www.teslarati.com/tesla-bull-dan-ives-elon-musk-twitter-deal-comments/'],[],15,22,155,[],[],https://twitter.com/Teslarati/status/1518710969249193987,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,1.0
3,1518585175961186307,1517142353269899264,2022-04-25 09:38:14 Eastern Daylight Time,2022-04-25,09:38:14,-0400,1374968033265864706,tarabull808,TaraBull,0,@elonmusk @PPathole @Tesla @SpaceX @neuralink @boringcompany Humanity wants you to take over Twitter.,en,[],[],[],16,5,126,[],[],https://twitter.com/TaraBull808/status/1518585175961186307,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}, {'screen_name': 'PPathole', 'name': 'Pranay Pathole', 'id': '1291945442'}, {'screen_name': 'Tesla', 'name': 'Tesla', 'id': '13298072'}, {'screen_name': 'SpaceX', 'name': 'SpaceX', 'id': '34743251'}, {'screen_name': 'neuralink', 'name': 'Neuralink', 'id': '895332160130891776'}, {'screen_name': 'boringcompany', 'name': 'The Boring Company', 'id': '859816394556284929'}]",0,0,0,0,1.0
4,1518562387623784448,1518562387623784448,2022-04-25 08:07:41 Eastern Daylight Time,2022-04-25,08:07:41,-0400,28489821,bigbullcap,Kaushik,0,$AAPL Global Equities Research the Tesla Bull cuts Apple to Sell saying No Innovation   🤣,en,[],[],[],8,0,56,[],['aapl'],https://twitter.com/BigBullCap/status/1518562387623784448,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,1.0
5,1518261044644245504,1518194746052726786,2022-04-24 12:10:15 Eastern Daylight Time,2022-04-24,12:10:15,-0400,813978505457201157,deadlyboyong,RickM,0,@realMeetKevin @elonmusk Every known Tesla bulls should buy Tesla to squeeze Bill,en,[],[],[],17,15,306,[],[],https://twitter.com/DeadlyBoyong/status/1518261044644245504,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'realMeetKevin', 'name': 'Meet Kevin', 'id': '23847960'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",0,0,0,0,2.0
6,1518154199565021184,1517950775414206464,2022-04-24 05:05:41 Eastern Daylight Time,2022-04-24,05:05:41,-0400,1301736325,reds_fan3,The calm before the storm,0,@SpaceGrenadier @Cokedupoptions I’m sure it’s a joke. The fact that its not totally obvious shows what a dreamworld the Tesla bulls are living in. They seem to think the stock will go up for ever without any understanding of market risk or market capitalisation if one company,en,[],[],[],2,1,75,[],[],https://twitter.com/Reds_Fan3/status/1518154199565021184,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'SpaceGrenadier', 'name': 'PeterSullivanish', 'id': '1365482852381380611'}, {'screen_name': 'Cokedupoptions', 'name': 'John W. Rich (Fake Tech Exec)', 'id': '1289342590299512832'}]",0,0,0,0,0.0
7,1518028868027834368,1518028868027834368,2022-04-23 20:47:40 Eastern Daylight Time,2022-04-23,20:47:40,-0400,805532293951606785,mattwallace888,Matt Wallace,0,My Favorite Upcoming #Dogecoin Catalysts ⬇️  Moon Landing Radio Doge Starlink Wallets Expanded Tesla Acceptance Chain Expansion Doge-1 Satellite Major Updates Elon Musk Buying Twitter Next bull run Eth Bridge,en,[],[],[],170,201,912,['dogecoin'],[],https://twitter.com/MattWallace888/status/1518028868027834368,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,1.0
8,1517939631370936321,1517939631370936321,2022-04-23 14:53:04 Eastern Daylight Time,2022-04-23,14:53:04,-0400,3385428580,tradbingsley,Ashleigh Sodaro,0,One of the most prominent $TSLA bulls thinks that retail can move $MSFT at $2.15t.  This is the amount of brainpower behind a Tesla investor.   $TSLAQ 📣  https://t.co/VgfVN0CkOq,en,[],[],['https://pbs.twimg.com/media/FRDOCecVIAAYRNW.jpg'],108,32,438,[],"['tsla', 'msft', 'tslaq']",https://twitter.com/tradbingsley/status/1517939631370936321,False,0,1,https://pbs.twimg.com/media/FRDOCecVIAAYRNW.jpg,0,0,0,0,0,0,[],0,0,0,0,1.0
9,1517936628240691203,1517936628240691203,2022-04-23 14:41:08 Eastern Daylight Time,2022-04-23,14:41:08,-0400,1374968033265864706,tarabull808,TaraBull,0,"Bill Gates is 'combating climate change', yet shorting $TSLA, the leading company in sustainable energy.  #Tesla @elonmusk",en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],31,48,303,['tesla'],['tsla'],https://twitter.com/TaraBull808/status/1517936628240691203,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0.0
10,1517572599575842816,1517523625309618178,2022-04-22 14:34:37 Eastern Daylight Time,2022-04-22,14:34:37,-0400,64957186,devonguerrero,Devon Guerrero,0,@BarbaraCormac I'm going to pretend like you're one of the best Tesla bull parody accounts 🤣 Please don't tell me any of these tweets are serious,en,[],[],[],3,0,66,[],[],https://twitter.com/DevonGuerrero/status/1517572599575842816,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'BarbaraCormac', 'name': 'Barbara Cormac 📈', 'id': '1346834567517372416'}]",0,0,0,0,1.0
11,1517540515314642948,1517540515314642948,2022-04-22 12:27:08 Eastern Daylight Time,2022-04-22,12:27:08,-0400,1464735601031368709,amazonholder1,Bull,0,"$amzn is now worth $400b more than $tsla which is funny bc that’s how much more revenue than Tesla they did in 2021.  I get it, Tesla worlds all time greatest story but amazon did 4x Tesla revenue in 2021 in high margin services alone $231b vs $53.8b but logic is meaningless…..",en,[],[],[],29,8,179,[],"['amzn', 'tsla']",https://twitter.com/amazonholder1/status/1517540515314642948,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,1.0
12,1517518556623212547,1517518556623212547,2022-04-22 10:59:52 Eastern Daylight Time,2022-04-22,10:59:52,-0400,1256512003243421696,nicklasnilsso14,Nicklas 🇸🇪🚗T🐂📈🎶🍀♻️,0,"#Tesla have the latest 3 months… 1. Started 2 brand new high tech factories, the best car factories on the planet! 2. delivered Q1 report that crushed all expectations, even the biggest bull! 3. anounced that there are 100.000 FSD-beta users out there!  1/🧵",en,[],[],[],1,9,60,['tesla'],[],https://twitter.com/NicklasNilsso14/status/1517518556623212547,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,2.0
13,1517448880459235329,1517448880459235329,2022-04-22 06:23:00 Eastern Daylight Time,2022-04-22,06:23:00,-0400,243928269,theteslabull,Đ⭕GEARMY GENERAL,0,@My_Collectables :D soooo I did a thing. @__TheGale__ @veve_official @SiliconSecure @AndrewEllis__  https://t.co/QyughveLAB,en,"[{'screen_name': '__thegale__', 'name': '🌬️💨 thegale.eth ⭕🟢🦹🏾\u200d♂️', 'id': '739630275811024897'}, {'screen_name': 'veve_official', 'name': 'veve | digital collectibles', 'id': '1328854887946354688'}, {'screen_name': 'siliconsecure', 'name': 'siliconsecure ⭕️', 'id': '151719892'}, {'screen_name': 'andrewellis__', 'name': 'andy 💛⭕', 'id': '1021411829640245248'}]",[],['https://pbs.twimg.com/media/FQ8Ptg9XoAA4bGx.jpg'],6,2,51,[],[],https://twitter.com/TheTeslaBull/status/1517448880459235329,False,0,1,https://pbs.twimg.com/media/FQ8Ptg9XoAA4bGx.jpg,0,0,0,0,0,0,[],0,0,0,0,1.0
14,1517224734412267521,1517224734412267521,2022-04-21 15:32:20 Eastern Daylight Time,2022-04-21,15:32:20,-0400,298274977,jasondebolt,Jason DeBolt ⚡️,0,"When Tesla succeeds year after year, consistently beating expectations, and you continue to bet against it or have “doubts”, then keep doubting. You’ve allowed Tesla bulls and employees to accumulate $TSLA at ridiculously low prices. We don’t want idiots owning the stock.",en,[],[],[],48,71,1059,[],['tsla'],https://twitter.com/jasondebolt/status/1517224734412267521,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,2.0
15,1517148083766800386,1517148083766800386,2022-04-21 10:27:45 Eastern Daylight Time,2022-04-21,10:27:45,-0400,227755413,leadlagreport,"Michael A. Gayed, CFA",0,"The percentage of NASDAQ stocks trading above their respective 200 day moving average is currently just 20.92%, suggesting most stocks remain shit and there is severe vulnerability underneath the ""bull"" market.  But tell me more about Tesla and Dog money.",en,[],[],[],16,9,98,[],[],https://twitter.com/leadlagreport/status/1517148083766800386,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0.0
16,1517120503919562753,1517120503919562753,2022-04-21 08:38:09 Eastern Daylight Time,2022-04-21,08:38:09,-0400,897852124733874176,maxime__prigent,Maxime Loves Cryptos,0,"Bonjour ! Les earnings de tesla, netflix, bancaires sont passés. Ces catalyseurs étant épuisés et contenus par les bulls, depuis cette nuit les marchés avancent en mode to the moon, sans pour le moment trouver une vraie intervention des bears. Mais où sont-ils ?",fr,[],[],[],17,18,122,[],[],https://twitter.com/maxime__prigent/status/1517120503919562753,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,1.0
17,1516905598733987841,1516904603194781696,2022-04-20 18:24:12 Eastern Daylight Time,2022-04-20,18:24:12,-0400,243928269,theteslabull,Đ⭕GEARMY GENERAL,0,@WholeMarsBlog NEXT QUESTION FROM GORDO JOHNSON: Why don’t solar panels make energy at night!? $TSLA 🤣,en,[],[],[],1,0,75,[],['tsla'],https://twitter.com/TheTeslaBull/status/1516905598733987841,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'WholeMarsBlog', 'name': 'Whole Mars Catalog', 'id': '1263491240336769026'}]",0,0,0,0,1.0
18,1516905458522599435,1516905358370910209,2022-04-20 18:23:38 Eastern Daylight Time,2022-04-20,18:23:38,-0400,243928269,theteslabull,Đ⭕GEARMY GENERAL,0,@WholeMarsBlog NEXT QUESTION FROM GORDO JOHNSON: Why don’t solar panels make energy at night!? $TSLA 🤣,en,[],[],[],15,8,165,[],['tsla'],https://twitter.com/TheTeslaBull/status/1516905458522599435,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'WholeMarsBlog', 'name': 'Whole Mars Catalog', 'id': '1263491240336769026'}]",0,0,0,0,1.0
19,1516899524505182220,1516899524505182220,2022-04-20 18:00:03 Eastern Daylight Time,2022-04-20,18:00:03,-0400,1374968033265864706,tarabull808,TaraBull,0,Tesla earnings on 4/20. Are we all living in an @elonmusk simulation?,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],9,3,93,[],[],https://twitter.com/TaraBull808/status/1516899524505182220,False,0,0,0,0,0,0,0,0,0,[],0,0,0,0,1.0
20,1516895811275300865,1516894503587569664,2022-04-20 17:45:18 Eastern Daylight Time,2022-04-20,17:45:18,-0400,1374968033265864706,tarabull808,TaraBull,0,"@unusual_whales It's comical how the US government supports all EVs, except Tesla. I love watching @elonmusk thrive in that hater environment.",en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],6,10,143,[],[],https://twitter.com/TaraBull808/status/1516895811275300865,False,0,0,0,0,0,0,0,0,0,"[{'screen_name': 'unusual_whales', 'name': 'unusual_whales', 'id': '1200616796295847936'}]",0,0,0,0,1.0
